Date,Open,High,Low,Close,Volume
04/02/21,3704.608017,3813.961705,3672.820544,3693.37085,1163598
05/02/21,3725.289279,3736.482466,3638.715655,3700.147949,729191
08/02/21,3700.323182,3723.977725,3668.448175,3705.570068,616236
09/02/21,3697.655955,3706.05106,3624.724314,3633.381592,721336
10/02/21,3637.841196,3685.937654,3585.459866,3630.45166,989105
11/02/21,3633.468975,3674.919294,3608.502711,3656.992432,546983
12/02/21,3654.456349,3669.14746,3600.238523,3616.897217,360063
15/02/21,3631.020372,3668.141836,3595.559909,3604.873047,287922
16/02/21,3611.606765,3653.232148,3606.359878,3614.099121,318280
17/02/21,3600.238529,3677.192863,3594.991643,3642.825928,554383
18/02/21,3672.820754,3672.820754,3587.209136,3598.883545,440460
19/02/21,3590.619208,3591.231515,3477.986005,3498.88623,762200
22/02/21,3506.668919,3532.90335,3433.955907,3473.045166,762310
23/02/21,3455.949345,3496.78757,3401.90637,3421.188721,802871
24/02/21,3434.087295,3454.20036,3371.430809,3438.328613,399843
25/02/21,3441.957356,3480.434522,3419.264616,3449.652832,632973
26/02/21,3419.658137,3448.166305,3299.46076,3321.891113,732210
01/03/21,3321.890841,3374.447233,3280.178141,3335.314209,724589
02/03/21,3342.266614,3464.825049,3306.850131,3448.99707,735847
03/03/21,3484.80686,3484.80686,3378.64495,3411.437988,615104
04/03/21,3388.614315,3434.612107,3358.881957,3392.156006,611769
05/03/21,3368.58828,3422.062707,3342.047697,3369.244141,719936
08/03/21,3365.002758,3365.002758,3296.793243,3321.93457,818275
09/03/21,3324.951487,3348.999714,3302.040128,3321.93457,526071
10/03/21,3340.517747,3392.112131,3324.777087,3382.099365,545219
12/03/21,3391.237555,3391.237555,3266.01191,3276.155762,1119478
15/03/21,3301.166316,3301.166316,3166.539987,3204.667236,1024257
16/03/21,3212.099822,3226.834913,3178.738457,3195.74707,858553
17/03/21,3191.855798,3216.341267,3109.479726,3121.547607,773240
18/03/21,3146.382897,3229.414832,3117.525022,3204.535889,1285600
19/03/21,3195.310293,3211.969202,3122.072498,3191.899902,1132705
22/03/21,3192.03041,3222.46239,3178.126247,3204.75415,502724
23/03/21,3205.454061,3244.280934,3184.204129,3216.647461,581531
24/03/21,3201.474975,3233.830773,3140.217538,3151.236084,507559
25/03/21,3161.248824,3161.248824,3058.060066,3062.082764,808505
26/03/21,3075.637138,3164.965285,3075.637138,3148.175293,691000
30/03/21,3151.848416,3213.499332,3131.822885,3206.459717,749230
31/03/21,3191.855723,3221.23837,3158.669211,3209.870117,694645
01/04/21,3239.077791,3291.809041,3227.00991,3273.226318,861229
05/04/21,3235.623662,3270.559137,3127.188011,3146.820068,723573
06/04/21,3183.067299,3183.111065,3150.099405,3161.686279,501882
07/04/21,3152.504204,3229.852011,3144.852495,3218.265137,346982
08/04/21,3234.661565,3234.661565,3187.483357,3191.680908,414020
09/04/21,3183.110997,3230.332974,3169.993782,3192.992676,484807
12/04/21,3130.204873,3147.257254,3043.237777,3096.537354,724230
13/04/21,3121.022822,3168.856892,3073.975699,3150.27417,412122
15/04/21,3150.274195,3196.709224,3083.507695,3145.945557,614450
16/04/21,3130.64207,3198.41435,3121.853493,3178.432373,526787
19/04/21,3082.720395,3114.901338,3014.336023,3074.281738,601819
20/04/21,3135.320692,3169.381686,3108.86764,3148.918701,676558
22/04/21,3143.584522,3230.333,3124.520793,3219.314453,1005711
23/04/21,3218.090346,3243.975071,3183.111103,3211.531738,631762
26/04/21,3220.014229,3278.429609,3214.592489,3269.553711,480016
27/04/21,3269.553687,3321.279158,3259.365855,3310.348145,518487
28/04/21,3331.816598,3457.698103,3329.149388,3401.512695,1252958
29/04/21,3448.078832,3457.960511,3329.236941,3354.902832,1335444
30/04/21,3327.400418,3468.498021,3323.028012,3352.541748,1340273
03/05/21,3336.145403,3416.422811,3309.91097,3368.370117,796444
04/05/21,3390.363059,3399.982351,3336.189001,3349.568604,408324
05/05/21,3359.931067,3369.025798,3309.123846,3361.330322,371452
06/05/21,3368.501211,3471.689981,3368.501211,3446.504883,938078
07/05/21,3458.135122,3469.765762,3370.206015,3381.399414,486456
10/05/21,3410.475855,3413.842693,3361.942161,3383.060791,306598
11/05/21,3375.496984,3405.841435,3332.866031,3392.374512,453808
12/05/21,3380.743814,3410.47617,3364.303527,3388.832764,499840
14/05/21,3393.248789,3405.360223,3335.270654,3365.702637,481619
17/05/21,3362.379635,3431.813345,3352.060716,3379.344482,427552
18/05/21,3409.339155,3566.133647,3381.967856,3556.689209,1371585
19/05/21,3563.510231,3595.86603,3539.72439,3581.830566,788882
20/05/21,3581.830417,3610.732056,3552.229363,3560.187012,465579
21/05/21,3569.806221,3613.355417,3546.107915,3607.714844,378016
24/05/21,3607.234684,3659.572466,3591.843731,3622.363037,500267
25/05/21,3642.694559,3661.452349,3621.226219,3629.184082,297915
26/05/21,3629.183761,3655.330658,3622.10038,3643.350098,261524
27/05/21,3646.58618,3737.532215,3631.501381,3713.134277,878610
28/05/21,3707.974605,3721.791234,3662.020371,3672.383057,285520
31/05/21,3664.075306,3697.91789,3643.962243,3666.523682,321021
01/06/21,3677.105256,3801.369098,3677.105256,3706.881592,1248169
02/06/21,3697.21838,3765.427902,3672.820444,3755.939697,351583
03/06/21,3755.283745,3760.268457,3709.548557,3736.963623,323999
04/06/21,3729.137269,3756.290164,3707.800014,3716.588379,374317
07/06/21,3724.02119,3747.063852,3707.799737,3716.325928,159646
08/06/21,3716.544446,3738.406472,3702.552749,3733.946533,150816
09/06/21,3732.284795,3736.21996,3673.69457,3694.244873,262617
10/06/21,3698.180268,3702.115433,3643.087963,3655.243164,332571
11/06/21,3659.702985,3687.55529,3639.589922,3648.771973,188155
14/06/21,3649.209392,3668.885216,3609.114351,3626.035645,200657
15/06/21,3633.468585,3648.159695,3612.568574,3618.689941,138010
16/06/21,3618.690303,3636.135945,3587.12145,3594.510986,216236
17/06/21,3602.861876,3602.861876,3534.696122,3545.058594,357704
18/06/21,3546.020638,3667.005176,3524.158612,3644.050049,701993
21/06/21,3631.719672,3669.322356,3591.012752,3657.647949,374649
22/06/21,3658.216349,3699.579558,3633.73088,3691.709229,591793
23/06/21,3699.054811,3724.983088,3665.16867,3671.596191,418053
24/06/21,3664.075486,3704.47668,3634.998992,3696.34375,314542
25/06/21,3690.310072,3715.670023,3653.581867,3669.453613,175051
28/06/21,3669.453309,3677.411171,3643.087792,3658.347656,158954
29/06/21,3659.702992,3663.06983,3600.238284,3606.927979,332405
30/06/21,3611.607039,3641.339397,3602.687161,3614.973877,331122
01/07/21,3621.226214,3716.544653,3621.226214,3676.799316,755502
02/07/21,3698.617713,3698.617713,3647.46057,3651.264648,375525
05/07/21,3665.474803,3716.456877,3661.321018,3674.13208,375703
