Date,Close,High,Low,Open,Volume
2016-05-06,521.7544555664062,527.6260165530023,520.6360494536028,527.5095171013456,1366576
2016-05-09,531.889892578125,533.5441506134202,521.4515306327069,521.9175284259443,3476590
2016-05-10,533.520751953125,534.732334536835,529.4199496403569,532.8683438282097,2726500
2016-05-11,530.6784057617188,533.56756984902,526.4377795679771,528.7677689559641,3073686
2016-05-12,535.47802734375,536.8294322567116,527.7424757211163,533.1014500882623,2110844
2016-05-13,531.6569213867188,534.9654945142187,526.577533798839,534.9654945142187,2522658
2016-05-16,541.8623046875,543.3068865974888,527.7658701944707,533.5675204799501,2259384
2016-05-17,537.505126953125,544.8679147729162,536.5032772143998,542.9107468129695,2147712
2016-05-18,531.5403442382812,536.3634095677481,527.2764534543068,536.3634095677481,2081322
2016-05-19,530.911376953125,532.4957241465471,527.5095698706524,531.2841411050169,1927898
2016-05-20,531.6569213867188,535.1984934229793,528.2551145650151,531.2141893293742,1008316
2016-05-23,529.7230224609375,535.8741709378255,528.068707444339,532.1461883737722,1731766
2016-05-24,531.2142333984375,532.9384595970054,529.1638883388492,530.4919708520611,1629734
2016-05-25,546.7551879882812,547.9900365298412,534.1732486195511,534.1732486195511,2883674
2016-05-26,551.3919067382812,554.0248057323972,543.4699439962143,548.06001103163,6852780
2016-05-27,553.046142578125,554.537312597701,548.3395198795778,551.3918278413695,2887592
2016-05-30,549.7608642578125,556.8673301869768,548.9919565672666,553.1393480602021,1907266
2016-05-31,550.7626953125,552.626686120303,548.6657056537216,552.626686120303,2757820
2016-06-01,547.6173706054688,551.2521196105231,545.6834682012114,551.2521196105231,2837816
2016-06-02,547.524169921875,550.1570692417673,545.6835011049133,547.407670455371,3955308
2016-06-03,546.0328979492188,552.2073685255594,544.7747266987811,549.9239680298629,2262210
2016-06-06,545.7301635742188,550.9959629286111,545.2408998792082,548.0135648044733,2773654
2016-06-07,546.9415893554688,549.8773982183994,544.1223368258095,548.4560821895449,2814252
2016-06-08,541.76904296875,548.9454206254734,541.0234578490446,547.9202481964408,2371406
